variant,stakeholder_group,criterion,recovered_documents,relevant_documents,A_sj
primary_preregistered,government,NPV,318,0,0.0
primary_preregistered,government,IRR,318,0,0.0
primary_preregistered,government,Geological Feasibility,318,0,0.0
primary_preregistered,government,Market Stability,318,0,0.0
primary_preregistered,government,Local Employment,318,168,0.5283018867924528
primary_preregistered,government,Community Infrastructure,318,90,0.2830188679245283
primary_preregistered,investor,NPV,147,13,0.08843537414965986
primary_preregistered,investor,IRR,147,3,0.02040816326530612
primary_preregistered,investor,Geological Feasibility,147,9,0.061224489795918366
primary_preregistered,investor,Market Stability,147,9,0.061224489795918366
primary_preregistered,investor,Local Employment,147,118,0.8027210884353742
primary_preregistered,investor,Community Infrastructure,147,111,0.7551020408163265
primary_preregistered,community,NPV,33,0,0.0
primary_preregistered,community,IRR,33,0,0.0
primary_preregistered,community,Geological Feasibility,33,0,0.0
primary_preregistered,community,Market Stability,33,0,0.0
primary_preregistered,community,Local Employment,33,17,0.5151515151515151
primary_preregistered,community,Community Infrastructure,33,21,0.6363636363636364
primary_preregistered,labour,NPV,244,0,0.0
primary_preregistered,labour,IRR,244,1,0.004098360655737705
primary_preregistered,labour,Geological Feasibility,244,1,0.004098360655737705
primary_preregistered,labour,Market Stability,244,0,0.0
primary_preregistered,labour,Local Employment,244,235,0.9631147540983607
primary_preregistered,labour,Community Infrastructure,244,129,0.5286885245901639
primary_preregistered,NGO,NPV,31,1,0.03225806451612903
primary_preregistered,NGO,IRR,31,1,0.03225806451612903
primary_preregistered,NGO,Geological Feasibility,31,4,0.12903225806451613
primary_preregistered,NGO,Market Stability,31,1,0.03225806451612903
primary_preregistered,NGO,Local Employment,31,17,0.5483870967741935
primary_preregistered,NGO,Community Infrastructure,31,8,0.25806451612903225
employment_strict,government,NPV,318,0,0.0
employment_strict,government,IRR,318,0,0.0
employment_strict,government,Geological Feasibility,318,0,0.0
employment_strict,government,Market Stability,318,0,0.0
employment_strict,government,Local Employment,318,0,0.0
employment_strict,government,Community Infrastructure,318,90,0.2830188679245283
employment_strict,investor,NPV,147,13,0.08843537414965986
employment_strict,investor,IRR,147,3,0.02040816326530612
employment_strict,investor,Geological Feasibility,147,9,0.061224489795918366
employment_strict,investor,Market Stability,147,9,0.061224489795918366
employment_strict,investor,Local Employment,147,11,0.07482993197278912
employment_strict,investor,Community Infrastructure,147,111,0.7551020408163265
employment_strict,community,NPV,33,0,0.0
employment_strict,community,IRR,33,0,0.0
employment_strict,community,Geological Feasibility,33,0,0.0
employment_strict,community,Market Stability,33,0,0.0
employment_strict,community,Local Employment,33,0,0.0
employment_strict,community,Community Infrastructure,33,21,0.6363636363636364
employment_strict,labour,NPV,244,0,0.0
employment_strict,labour,IRR,244,1,0.004098360655737705
employment_strict,labour,Geological Feasibility,244,1,0.004098360655737705
employment_strict,labour,Market Stability,244,0,0.0
employment_strict,labour,Local Employment,244,7,0.028688524590163935
employment_strict,labour,Community Infrastructure,244,129,0.5286885245901639
employment_strict,NGO,NPV,31,1,0.03225806451612903
employment_strict,NGO,IRR,31,1,0.03225806451612903
employment_strict,NGO,Geological Feasibility,31,4,0.12903225806451613
employment_strict,NGO,Market Stability,31,1,0.03225806451612903
employment_strict,NGO,Local Employment,31,5,0.16129032258064516
employment_strict,NGO,Community Infrastructure,31,8,0.25806451612903225
finance_broad_employment_strict,government,NPV,318,3,0.009433962264150943
finance_broad_employment_strict,government,IRR,318,0,0.0
finance_broad_employment_strict,government,Geological Feasibility,318,0,0.0
finance_broad_employment_strict,government,Market Stability,318,0,0.0
finance_broad_employment_strict,government,Local Employment,318,0,0.0
finance_broad_employment_strict,government,Community Infrastructure,318,90,0.2830188679245283
finance_broad_employment_strict,investor,NPV,147,39,0.2653061224489796
finance_broad_employment_strict,investor,IRR,147,13,0.08843537414965986
finance_broad_employment_strict,investor,Geological Feasibility,147,9,0.061224489795918366
finance_broad_employment_strict,investor,Market Stability,147,9,0.061224489795918366
finance_broad_employment_strict,investor,Local Employment,147,11,0.07482993197278912
finance_broad_employment_strict,investor,Community Infrastructure,147,111,0.7551020408163265
finance_broad_employment_strict,community,NPV,33,3,0.09090909090909091
finance_broad_employment_strict,community,IRR,33,0,0.0
finance_broad_employment_strict,community,Geological Feasibility,33,0,0.0
finance_broad_employment_strict,community,Market Stability,33,0,0.0
finance_broad_employment_strict,community,Local Employment,33,0,0.0
finance_broad_employment_strict,community,Community Infrastructure,33,21,0.6363636363636364
finance_broad_employment_strict,labour,NPV,244,12,0.04918032786885246
finance_broad_employment_strict,labour,IRR,244,4,0.01639344262295082
finance_broad_employment_strict,labour,Geological Feasibility,244,1,0.004098360655737705
finance_broad_employment_strict,labour,Market Stability,244,0,0.0
finance_broad_employment_strict,labour,Local Employment,244,7,0.028688524590163935
finance_broad_employment_strict,labour,Community Infrastructure,244,129,0.5286885245901639
finance_broad_employment_strict,NGO,NPV,31,7,0.22580645161290322
finance_broad_employment_strict,NGO,IRR,31,2,0.06451612903225806
finance_broad_employment_strict,NGO,Geological Feasibility,31,4,0.12903225806451613
finance_broad_employment_strict,NGO,Market Stability,31,1,0.03225806451612903
finance_broad_employment_strict,NGO,Local Employment,31,5,0.16129032258064516
finance_broad_employment_strict,NGO,Community Infrastructure,31,8,0.25806451612903225
